# Target: WASP-39b
# Instrument: NIRISS/SOSS
# Pipeline: transitspectroscopy
# Author: Espinoza
wave,wave_error,dppm,dppm_err,order
0.82493, 0.00020, 20833.80, 436.00, 2
0.82543, 0.00025, 21336.40, 707.90, 2
0.82583, 0.00020, 20827.90, 394.00, 2
0.82633, 0.00025, 20844.30, 627.00, 2
0.82683, 0.00025, 21545.80, 597.20, 2
0.82723, 0.00020, 20755.50, 570.70, 2
0.82773, 0.00025, 21215.60, 454.90, 2
0.82823, 0.00025, 21208.60, 565.80, 2
0.82863, 0.00020, 21185.90, 579.70, 2
0.82913, 0.00025, 21731.40, 535.90, 2
0.82953, 0.00020, 21348.90, 534.40, 2
0.83003, 0.00025, 21498.20, 529.90, 2
0.83053, 0.00025, 21373.20, 557.20, 2
0.83093, 0.00020, 21349.50, 449.80, 2
0.83143, 0.00025, 21243.20, 557.80, 2
0.83193, 0.00025, 21139.80, 603.20, 2
0.83233, 0.00020, 21352.70, 582.10, 2
0.83283, 0.00025, 20232.00, 520.00, 2
0.83333, 0.00025, 21101.40, 574.30, 2
0.83373, 0.00020, 21421.30, 453.30, 2
0.83423, 0.00025, 21486.40, 548.10, 2
0.83463, 0.00020, 20773.20, 568.30, 2
0.83513, 0.00025, 21164.40, 589.40, 2
0.83563, 0.00025, 21268.90, 505.10, 2
0.83603, 0.00020, 20947.70, 493.60, 2
0.83653, 0.00025, 20724.00, 749.00, 2
0.83703, 0.00025, 21109.50, 580.20, 2
0.83743, 0.00020, 20812.50, 480.90, 2
0.83793, 0.00025, 20061.50, 599.00, 2
0.83843, 0.00025, 20801.80, 523.40, 2
0.83883, 0.00020, 21621.40, 584.60, 2
0.83933, 0.00025, 20685.90, 494.20, 2
0.83983, 0.00025, 20932.70, 494.80, 2
0.84023, 0.00020, 21255.00, 554.20, 2
0.84073, 0.00025, 21501.20, 501.70, 2
0.84123, 0.00025, 21276.00, 468.20, 2
0.84163, 0.00020, 21100.00, 419.30, 2
0.84213, 0.00025, 20815.70, 479.60, 2
0.84253, 0.00020, 21126.40, 628.40, 2
0.84303, 0.00025, 20521.10, 513.10, 2
0.84353, 0.00025, 20446.10, 486.20, 2
